loc_index,lat,lng,longitude,latitude,"POI大类:汽车服务,汽车销售,汽车维修,摩托车服务,餐饮服务,购物服务,生活服务,体育休闲服务,医疗保健服务,住宿服务,风景名胜,商务住宅,政府机构及社会团体,科教文化服务,交通设施服务,金融保险服务,公司企业,道路附属设施,地名地址信息,公共设施,事件活动,室内设施,通行设施",地址,addr,addr_tokens,doc2vec,addr_label,geohash
28,35.44999,112.83929,112.83929,35.44999,"15,3,7,2,199,548,189,23,40,8,6,48,79,65,62,8,146,6,642,12,0,0,84",山西省晋城市城区钟家庄街道金石路晋城凤华学校,城区钟家庄街道金石路晋城凤华学校,城区钟家庄街道 金石路 晋城 凤华 学校,"[-0.003531776601448655, 0.016306361183524132, 0.004329768940806389, -2.138901072612498e-05, -0.008294988423585892, -0.021079640835523605, 0.01376434788107872, 0.043021854013204575, -0.03501385077834129, -0.04562258720397949, -0.007115726824849844, -0.03795202076435089, 0.015107075683772564, 0.0056799245066940784, -0.022517260164022446, -0.017300771549344063, 0.009094402194023132, -0.0017513841157779098, -0.0405462309718132, -0.03131144493818283, -0.008600033819675446, 0.009093656204640865, 0.033507365733385086, 0.0034972543362528086, 0.010424114763736725, 0.012133435346186161, 0.004707389045506716, -0.029481859877705574, -0.030018385499715805, 0.011694385670125484, -0.0024485085159540176, 0.0006184445810504258, -0.012409116141498089, 0.001606274745427072, -0.022293847054243088, 0.004898000508546829, 0.013359996490180492, -0.004160289652645588, 0.01309389527887106, -0.021014906466007233, 0.02919311821460724, 0.008343041874468327, -0.006804272532463074, -0.005635284353047609, 0.03883137181401253, 0.024945136159658432, -0.00124181411229074, -0.009753595106303692, -0.018257582560181618, 0.008303704671561718]",城区钟家庄街道,ww21xtrp4j0g
30,35.472077,112.831412,112.831412,35.472077,"248,74,73,19,867,864,870,191,593,104,39,295,609,610,307,275,767,4,900,55,0,18,591",山西省晋城市城区钟家庄街道晋城市社会福利院,城区钟家庄街道晋城市社会福利院,城区钟家庄街道 晋城市 社会 福利院,"[-0.04559953510761261, 0.06165410205721855, 0.016786543652415276, 0.005491671618074179, -0.021070515736937523, -0.11765744537115097, 0.06181430071592331, 0.13655640184879303, -0.11100112646818161, -0.16494731605052948, 0.006709511391818523, -0.1434050053358078, 0.022315608337521553, 0.021229155361652374, -0.08843587338924408, -0.023144783452153206, 0.01532251201570034, 0.03414834290742874, -0.18098297715187073, -0.09145473688840866, -0.0834529772400856, 0.04949572682380676, 0.0958872064948082, -0.011669800616800785, 0.0754430741071701, 0.03453080728650093, 0.02430795319378376, -0.09427201747894287, -0.11506246775388718, 0.02742963470518589, -0.006550731137394905, -0.011521488428115845, -0.05095910653471947, 0.041198547929525375, -0.09930554032325745, 0.04230641573667526, 0.09728426486253738, 0.017534879967570305, 0.0487106628715992, -0.08087901771068573, 0.1261448860168457, 0.01701698638498783, -0.013998998329043388, 0.015632355585694313, 0.16492530703544617, 0.06706582754850388, 0.003782362909987569, -0.01975220814347267, -0.03707325458526611, 0.005378616973757744]",城区钟家庄街道,ww21z93rf6qt
33,35.46982,112.87672,112.87672,35.46982,"156,57,60,10,853,880,748,66,232,40,16,143,283,291,179,79,377,4,900,30,0,18,260",山西省晋城市城区钟家庄街道晋城市多多好商贸有限公司,城区钟家庄街道晋城市多多好商贸有限公司,城区钟家庄街道 晋城市 多多 好 商贸 有限 公司,"[-0.05795937776565552, 0.12294696271419525, 0.02987184375524521, 0.0033566057682037354, -0.016679860651493073, -0.17748959362506866, 0.08060937374830246, 0.2190311998128891, -0.15485945343971252, -0.24481594562530518, 0.007538249716162682, -0.21829643845558167, 0.031908124685287476, 0.04095182940363884, -0.14250685274600983, -0.019664423540234566, 0.03247246518731117, 0.053633544594049454, -0.28642982244491577, -0.138271301984787, -0.14220879971981049, 0.049507394433021545, 0.15950167179107666, -0.03921770304441452, 0.109559565782547, 0.069246307015419, 0.026774244382977486, -0.1322278082370758, -0.16595043241977692, 0.03472387045621872, -0.0003489542577881366, -0.011144868098199368, -0.09204616397619247, 0.061153024435043335, -0.1465548723936081, 0.06436150521039963, 0.15587569773197174, 0.026606692001223564, 0.10376802086830139, -0.12815004587173462, 0.1971815526485443, 0.013382293283939362, -0.02958129718899727, 0.043032772839069366, 0.25396087765693665, 0.10406233370304108, 0.01015533972531557, -0.04226353392004967, -0.07408993691205978, -0.007552908267825842]",城区钟家庄街道,ww23b946djwv
44,35.473611,112.833611,112.833611,35.473611,"280,81,75,40,864,863,872,256,686,146,45,340,662,737,374,323,869,4,900,65,0,31,684",山西省晋城市城区钟家庄街道邓氏酱骨头自助火锅(汇仟店)汇仟B区,城区钟家庄街道邓氏酱骨头自助火锅(汇仟店)汇仟B区,城区钟家庄街道 邓氏酱 骨头 自助 火锅 汇仟店 汇仟,"[-0.022221457213163376, 0.04965297505259514, 0.016254153102636337, 0.004963982850313187, -0.014070105738937855, -0.08523833006620407, 0.040591754019260406, 0.09009023010730743, -0.08297976851463318, -0.09931463748216629, 0.0009443160961382091, -0.10541083663702011, 0.016646817326545715, 0.03119415044784546, -0.05003833770751953, -0.019992349669337273, 0.016050854697823524, 0.011270838789641857, -0.13205279409885406, -0.047627102583646774, -0.06870050728321075, 0.03520022705197334, 0.0628071129322052, -0.007939777337014675, 0.050575416535139084, 0.02222619764506817, 0.014801908284425735, -0.06649532169103622, -0.07275047153234482, 0.030118457973003387, -0.003921616822481155, -0.01146229263395071, -0.04561111703515053, 0.02515595033764839, -0.05469091981649399, 0.030620239675045013, 0.07146091759204865, 0.010416033677756786, 0.05005491152405739, -0.062098365277051926, 0.08934982120990753, -0.0004677116812672466, -0.007439671084284782, 0.005831939168274403, 0.11826520413160324, 0.04490833356976509, 0.002823140239343047, -0.013833491131663322, -0.02561928518116474, 0.004977342206984758]",城区钟家庄街道,ww21z9fbv8qk
46,35.47789,112.8357,112.8357,35.47789,"317,85,84,50,850,862,865,314,874,217,50,404,808,878,435,376,872,4,899,90,0,32,832",山西省晋城市城区南街街道中原西街1276号和景小区,城区南街街道中原西街1276号和景小区,城区南街街道 中原 西街 1276 号 和 景小区,"[-0.010401606559753418, 0.030049189925193787, 0.02568444423377514, -0.0015200476627796888, -0.0027195210568606853, -0.08773960173130035, 0.037998124957084656, 0.08547242730855942, -0.07863600552082062, -0.09625070542097092, 0.0038759070448577404, -0.08387730270624161, 0.008447712287306786, 0.02999924123287201, -0.03802571818232536, -0.00471476698294282, 0.0010254440130665898, 0.008739227429032326, -0.10390324145555496, -0.05569418519735336, -0.05599286034703255, 0.01831692084670067, 0.056857042014598846, -0.014365890063345432, 0.04374256730079651, 0.038308821618556976, 0.01317777018994093, -0.05890579894185066, -0.048012588173151016, 0.012478520162403584, -0.008735938929021358, -0.01313406229019165, -0.04640491306781769, 0.017873426899313927, -0.059918757528066635, 0.03541366010904312, 0.060332681983709335, 0.012742207385599613, 0.03665653616189957, -0.05303759127855301, 0.07146655023097992, 0.011040996760129929, -0.011682787910103798, 0.015430308878421783, 0.1064264252781868, 0.04908836632966995, 0.008759851567447186, 0.0037977269385010004, -0.025337891653180122, -0.0020653593819588423]",城区南街街道,ww21zds3wqh1
52,35.476944,112.842777,112.842777,35.476944,"286,84,71,49,859,869,874,305,856,204,50,397,811,864,468,370,869,2,900,89,0,32,806",山西省晋城市城区钟家庄街道北斗大厦,城区钟家庄街道北斗大厦,城区钟家庄街道 北斗 大厦,"[-0.02083725668489933, 0.06611933559179306, 0.014243456535041332, -0.005483246874064207, -0.005035196430981159, -0.09543002396821976, 0.06058889627456665, 0.11661506444215775, -0.09661075472831726, -0.14893905818462372, -0.001528269611299038, -0.10825289785861969, 0.02654324658215046, 0.03709067031741142, -0.06927281618118286, -0.02507000043988228, 0.006003206130117178, 0.02714531682431698, -0.1606522798538208, -0.07274195551872253, -0.0729089304804802, 0.03163542225956917, 0.0810052827000618, -0.03030228801071644, 0.061639025807380676, 0.030668996274471283, 0.024547604843974113, -0.08274064213037491, -0.08870614320039749, 0.03725754842162132, -0.014981078915297985, -0.00851345993578434, -0.05052553862333298, 0.03558345511555672, -0.08082220703363419, 0.037104532122612, 0.08597999811172485, 0.02470439299941063, 0.05323496460914612, -0.06812304258346558, 0.09507687389850616, 0.0038868202827870846, -0.01751851849257946, 0.021750060841441154, 0.14909864962100983, 0.052566610276699066, 0.0051186904311180115, -0.026750270277261734, -0.03416654095053673, 0.00747959828004241]",城区钟家庄街道,ww21zf3s5m9n
54,35.473611,112.841666,112.841666,35.473611,"240,78,67,36,872,869,876,245,677,134,42,352,682,769,393,319,823,2,900,71,0,32,707",山西省晋城市城区钟家庄街道白水西街时家岭社区,城区钟家庄街道白水西街时家岭社区,城区钟家庄街道 白水西街 时 家岭 社区,"[-0.08568910509347916, 0.18085165321826935, 0.06623335927724838, 0.003661424620077014, -0.022505266591906548, -0.28136172890663147, 0.1460629254579544, 0.33042505383491516, -0.2605851888656616, -0.40060096979141235, 0.004742131102830172, -0.35711461305618286, 0.053705912083387375, 0.08831416815519333, -0.21335147321224213, -0.037439774721860886, 0.05233561992645264, 0.060833364725112915, -0.4555045962333679, -0.2146349996328354, -0.20989391207695007, 0.08798515796661377, 0.2503403127193451, -0.06035608798265457, 0.2094525694847107, 0.12006772309541702, 0.058819688856601715, -0.21258562803268433, -0.2652949392795563, 0.08753207325935364, -0.011355391703546047, -0.03089921362698078, -0.14648976922035217, 0.11413679271936417, -0.22426800429821014, 0.13807299733161926, 0.235857754945755, 0.05742599442601204, 0.15266203880310059, -0.18410222232341766, 0.2834819257259369, 0.03651939705014229, -0.0437498465180397, 0.030168045312166214, 0.41051194071769714, 0.1686427891254425, 0.00914406031370163, -0.05977160856127739, -0.10457693040370941, 0.02809780277311802]",城区钟家庄街道,ww21zcbbc2ks
57,35.481687,112.82517,112.82517,35.481687,"300,76,82,56,863,881,877,296,841,209,49,375,752,814,408,376,868,4,899,85,0,32,774",山西省晋城市城区泽州一中,城区泽州一中, 城区 泽州 一中,"[-0.013386402279138565, 0.026566477492451668, -0.0026480371598154306, 0.012091469950973988, -0.012076452374458313, -0.04733862355351448, 0.012221448123455048, 0.055553607642650604, -0.0318199098110199, -0.053432028740644455, -0.016553258523344994, -0.037564825266599655, 0.014815488830208778, 0.023836087435483932, -0.02563992515206337, -0.02030777931213379, 0.00557497376576066, 0.022039176896214485, -0.06889253109693527, -0.031066685914993286, -0.011455051600933075, 0.009943462908267975, 0.01754707656800747, -0.00769573962315917, 0.01986238732933998, 0.01174179743975401, 0.014578154310584068, -0.03406333923339844, -0.03507119044661522, 0.008513327687978745, 0.00041180357220582664, -0.008719729259610176, -0.028677834197878838, 0.013060915283858776, -0.05139511823654175, 0.012113903649151325, 0.032662950456142426, 0.01905876025557518, 0.006119050085544586, -0.022679544985294342, 0.04356039687991142, -0.0011449557496234775, -0.0013760461006313562, 0.007188705727458, 0.05245854705572128, 0.019355881959199905, -0.0035008988343179226, -0.01225466188043356, -0.00429810443893075, 0.006094638258218765]",,ww21z7hzc1b7
71,35.4902,112.842,112.842,35.4902,"413,89,108,87,871,869,874,414,865,278,64,567,897,872,608,518,863,2,900,135,0,33,890",山西省晋城市城区东街街道供销大厦(凤台西街),城区东街街道供销大厦(凤台西街),城区东街街道 供销 大厦 凤台西街,"[-0.022007962688803673, 0.04279565438628197, 0.009169420227408409, 0.0008975507225841284, -0.007690793368965387, -0.08944887667894363, 0.05515790358185768, 0.11722052097320557, -0.0690101906657219, -0.12085959315299988, 0.007221560459583998, -0.09300106763839722, 0.01214375626295805, 0.027934176847338676, -0.05213598906993866, -0.021685928106307983, 0.00892642606049776, 0.02894737757742405, -0.13281100988388062, -0.06247207522392273, -0.07269401848316193, 0.029811248183250427, 0.07081412523984909, -0.02374797686934471, 0.05109560117125511, 0.027752676978707314, 0.012695390731096268, -0.058936960995197296, -0.0779075026512146, 0.03789864480495453, 0.005766851361840963, -0.005850018002092838, -0.056687578558921814, 0.02819051779806614, -0.06748902052640915, 0.03678791597485542, 0.06751815229654312, 0.025599338114261627, 0.04247414693236351, -0.05155964940786362, 0.08877991884946823, 0.015307077206671238, -0.013921483419835567, 0.023726845160126686, 0.12367036193609238, 0.054509762674570084, 0.010921454057097435, -0.015585135668516159, -0.038488615304231644, 0.0014884578995406628]",城区东街街道,ww21zuc13hv9
76,35.47215,112.8602,112.8602,35.47215,"200,61,58,22,852,875,869,155,421,81,26,264,598,530,294,222,689,2,899,53,0,18,481",山西省晋城市城区钟家庄街道747县道,城区钟家庄街道747县道,城区钟家庄街道 747 县道,"[-0.03470427170395851, 0.06536407023668289, 0.011165414936840534, -0.013541373424232006, -0.015226971358060837, -0.10621457546949387, 0.06597162783145905, 0.1397787481546402, -0.10546910762786865, -0.16285839676856995, -0.002837630221620202, -0.13989922404289246, 0.012869923375546932, 0.02610502578318119, -0.09797324240207672, -0.021630100905895233, 0.018844500184059143, 0.03636947274208069, -0.185612291097641, -0.07747260481119156, -0.08298097550868988, 0.04044870287179947, 0.09259458631277084, -0.024229802191257477, 0.06813286244869232, 0.03637973964214325, 0.02981552481651306, -0.09449408203363419, -0.1015082448720932, 0.032173871994018555, -0.011412647552788258, -0.014191173948347569, -0.060429371893405914, 0.044914618134498596, -0.09877843409776688, 0.05603737756609917, 0.1062641516327858, 0.014679690822958946, 0.06484916061162949, -0.08625711500644684, 0.12488187104463577, 0.005594012327492237, -0.011303827166557312, 0.015464947558939457, 0.16895627975463867, 0.06395385414361954, 0.0077258325181901455, -0.025371327996253967, -0.03582458570599556, 0.008629577234387398]",城区钟家庄街道,ww23b1w23208
