Cluster,Num,Percentage
0,542,31.31%
1,136,7.86%
2,76,4.39%
3,350,20.22%
4,31,1.79%
5,221,12.77%
6,43,2.48%
7,25,1.44%
8,127,7.34%
9,43,2.48%
10,92,5.31%
11,45,2.60%
